Object/Custom Metadata Type Field Label is Located On,Object/Custom Metadata Type Field API Name is Located On,Field Label,Field API Name,Data Type,Field Description,Should Carry Over Values or Mappings from Object/Metadata Table,Should Carry Over Values or Mappings from Object/Metadata Table API Name,Expected Automation Behavior,Behavior Needs to Occur When?,Current Flow API Name with Expected Automation Behavior,Flow Version,Process Type,Trigger,Flow Triggering Autolaunch Flow?,Trigger Flow Version
Automation Toggle,Automation_Toggles__mdt,Disable RLM Automation,Disable_RLM_Automation__c,Checkbox,Disables all RLM Automation,,,"GET RECORDS: Metadata Record Name = Default

DECISON: Has the Automation been Disabled?
EQUALS TRUE Ends Automation
EQUALS FALSE Continues to Next Flow Step",Record Creation or Record Update,,,,,,
Automation Toggle,Automation_Toggles__mdt,Disable_OrderItem_Automation,Disable_OrderItem_Automation__c,Checkbox,Disables all Order Automation,,,"GET RECORDS: Metadata Record Name = Default

DECISON: Has the Automation been Disabled?
EQUALS TRUE Ends Automation
EQUALS FALSE Continues to Next Flow Step",Record Creation or Record Update,,,,,,
Automation Toggle,Automation_Toggles__mdt,Disable_Hardware_Only_OrderItem_Auto,Disable_Hardware_Only_OrderItem_Auto__c,Checkbox,Disables only Hardware Orders,OrderItem.Hardware Product?,OrderItem.Hardware_Product__c,Should match Quote Line,Record Creation or Record Update,,,,,,
Partner Subscription,Partner_Subscription__c,Order Line Item,Order_Line_Item__c,Lookup(Order Line Item),Identifies Order contains Products that are Partner Subscriptions,QuoteLineItem.Partner Subscription?,QuoteLineItem.Partner_Subscription__c,"Connects Custom Object Partner Subscriptions to Order Line Item

Quote Line Items where QuoteLineItem.Partner_Subscriptions__c EQUALS TRUE should NOT be created as Order Item Records. They should ONLY show up in the Partner Subscription related list on the Order Item record with the following information:
- Partner Subscription Name
- Product Name
- Quantity
- Opportunity
- Quote
- Quote Line Item
- Order
- Order Item
- Contract
- Asset

Do_Not_Sync__c MUST be checked for these Order Items",Record Creation Only,,,,,,
OrderItem,OrderItem,Quote Line Item,QuoteLineItemId,Lookup(Quote Line Item),Links the Quote Line Item to the Order Item,QuoteLineItem.Name,QuoteLineItem.Id,Should match Quote Line,,,,,,,
QuoteLineItem,QuoteLineItem,Product,Product2Id,Lookup(Product),Links Quote Line to Product2,QuoteLineItem.Product,QuoteLineItem.Product2,"This is the Product that should pull into the Quote Line

These Quote Lines should also show up in the Partner Subscription related list on the Quote Line Item record with the following information:
- Partner Subscription Name
- Product Name
- Quantity
- Opportunity
- Quote
- Quote Line Item
- Order
- Order Item
- Contract
- Asset

Do_Not_Sync__c MUST be checked for these Order Items",Record Creation Only,,,,,,
OrderItem,OrderItem,Required By,RequiredBy__c,Lookup(Product),Links Quote Line Item Product,QuoteLineItem.Product,QuoteLineItem.Product2,Should match Quote Line,,,,,,,
OrderItem,OrderItem,Hardware Order,Hardware_Order__c,Checkbox,Identifies if the Order Item Product is a Hardware Product,QuoteLineItem.Hardware Product?,QuoteLineItem.Hardware_Product__c,"OrderItem.Hardware_Order__c should match QuoteLineItem.Hardware_Product__c

Auto Activate Hardware Orders:

If OrderItem.Hardware_Order__c EQUALS TRUE
WAIT 1 Minute 

UPDATE Order:
OrderItem.Status to Activated
OrderItem.Status__c to Activated
OrderItem.InvoiceBatch__c to Hardware Order""",Record Creation Only,,,,,,
OrderItem,OrderItem,Legacy Record?,Legacy__c,Checkbox,Identifies if it is a Legacy record,QuoteLineItem.Legacy Record?,QuoteLineItem.Legacy__c,Should match Quote Line,Record Creation Only,,,,,,
OrderItem,OrderItem,Automatically Renew,DoesAutomaticallyRenew__c,Checkbox,Identifies Order Item contains Products that Automatically Renew,QuoteLineItem.Automatically Renew,QuoteLineItem.DoesAutomaticallyRenew__c,Should match Quote Line,Record Creation Only,,,,,,
OrderItem,OrderItem,Partner Subscription?,Partner_Subscription__c,Checkbox,Identifies if the Order Item Product is a Partner Subscription,QuoteLineItem.Partner Subscription?,QuoteLineItem.Partner_Subscription__c,"Connects Custom Object Partner Subscriptions to Order Item

Quote Line Items where QuoteLineItem.Partner_Subscriptions__c EQUALS TRUE should NOT be created as Order Item Records. They should ONLY show up in the Partner Subscription related list on the Order Item record with the following information:
- Partner Subscription Name
- Product Name
- Quantity
- Opportunity
- Quote
- Quote Line Item
- Order
- Order Item
- Contract
- Asset

Do_Not_Sync__c MUST be checked for these Order Items",Record Creation Only,,,,,,
OrderItem,OrderItem,Billing Frequency,BillingFrequency__c,Picklist,Identifies Order Item Billing Frequency,QuoteLineItem.Billing Frequency,QuoteLineItem.BillingFrequency__c,Should match Quote Line,Record Creation Only,,,,,,
OrderItem,OrderItem,Subscription Term,SubscriptionTerm,Number,Identifies Order Item Subscription Term,QuoteLineItem.Subscription Term,QuoteLineItem.Subscription_Term__c,Should match Quote Line,Record Creation Only,,,,,,
OrderItem,OrderItem,Charge Type,Charge_Type__c,Picklist,Identifies Order Item Charge Type,QuoteLineItem.Charge Type,QuoteLineItem.Charge_Type__c,Should match Quote Line,Record Creation Only,,,,,,
